artist_id,artist_name,track_id,track_name,album_release_date,album_release_date_precision,is_explicit,duration_ms,popularity
4MRRW42s9ymwa5zu4xTKJh,Kaza,5aJhbhV4fTcLSkgH8y3aKq,CALMANT,2024-01-12,day,True,149133,59
0GgY7hjMoGDsX8ZDe2mwds,Soolking,30D9x5LFgL2o9xidjX2wtE,Casanova,2023-07-06,day,False,189090,85
5H9EtsRc980WZMj0m0nwqa,NAZAKEBLACK,5dSfZLxT4QUN4maDM5H2ZW,"1,2,3 Soleil",2023-06-08,day,False,173419,68
6y9D9asiDbnfHSZETC6pkZ,Kaneki,6XCrAL7AKz34KxvhsoW2UF,Long time (feat. Ninho),2023-10-06,day,True,285360,56
3dH7pcBScIJQboDyMzUzez,GLK,4bBRs90EOLh9ydBDsH3mgu,Parabellum,2023-07-13,day,True,154110,57
74YbW6s8CZdaYLxJU9HeS7,Mister You,7B7zzTwckbzoiRz3fAdQq9,Reste Trankil,2023-10-13,day,True,199782,55
2ptKt4yP4mYRZmvi09JYyi,Timal,2MrFSzJuda5Hwp40iQfcdR,760,2023-07-27,day,True,180515,60
2tcoLkA9Hexz70Kuc1NTUl,Gradur,3E2A0uk8xtCGqgTsiz8Qug,Mon BB,2023-06-15,day,True,188786,60
20JMfmzDb5cjHxEoMXXMyY,Favé,5Ewrq10sWq0WYTSW6Br57l,Vibes,2023-06-23,day,True,134423,57
3YwqjMyrRfuixi2pbgTGCE,Heuss L'enfoiré,1jJHvMdaI0B3tmiCgFNpeK,Localisé,2023-06-30,day,True,171754,55
5ydAcIK2KdpBIbL0yGFJle,Kery James,6JnYVpEvdSMKYwLUfoM4v7,Trop Bizarre,2023-09-15,day,True,272830,57
4BFLElxtBEdsdwGA1kHTsx,ElGrandeToto,05DrM4jF73TZFu1h7sl26w,DELLALI (feat. Hamza),2023-11-08,day,True,182037,68
5eAv3bvAehIJEOMLtzAtaE,Lamatrix,4boEoouWug1KL4oIdO6yOn,Crazy,2023-09-07,day,False,134612,54
0GgY7hjMoGDsX8ZDe2mwds,Soolking,4m4MwgqsswdG67P8SsQEii,Y Dor,2023-07-27,day,False,145620,71
3dH7pcBScIJQboDyMzUzez,GLK,2cjMxpKD3fAmM0iZPWHJri,Avec elle,2023-10-12,day,True,166299,52
5Wf0eeUkR6rRAre6L7H7jW,Gambino,3FVL6UdXArRuGsqGNd3VZj,Traficante,2023-12-14,day,True,176129,54
5gs4Sm2WQUkcGeikMcVHbh,Hamza,2RhLQNIhtQRPU2I2ExxBS3,Drifté,2023-11-22,day,True,160960,56
3BX2N7cc1OrBUJQiiei3On,L'Allemand,4PbUJQL1l8FNeskGcW1syj,KB9,2023-12-08,day,True,174101,52
1ntQKIMIgESKpKoNXVBvQg,Kaaris,3roPtG7hZaqEqbJIqt412J,On est prêt,2023-12-13,day,False,166914,55
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,2016-05-06,day,True,197933,83
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,2022-07-28,day,True,157017,81
46pWGuE3dSwY3bMMXGBvVS,Rema,6hgoYQDUcPyCz7LcTUHKxa,Calm Down,2022-02-10,day,False,219813,78
4B6paaW6VeD5oEWp19KEVq,Papi Sanchez,4fHEdJLWGX6eVu4U9sT49W,Enamorame,2003,year,False,262826,51
0TnOYISbd1XYRBk9myaseg,Pitbull,4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",2011-06-17,day,False,252306,86
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,0TK2YIli7K1leLovkQiNik,Señorita,2019-06-21,day,False,190960,80
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,5WQQIDU3HRaMyPkob8mpFb,Where Have You Been,2011-11-18,day,False,242680,78
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit,2011-01-01,day,False,230906,75
7vb7VLDqpLTlAy1ctTMR5d,Alex Gaudino,5TmFTHZp7HjBXjjsFvCY6h,Destination Calabria - Radio Edit,2007-02-19,day,False,223111,78
738wLrAtLtCtFOLvQBXOXp,Major Lazer,1lhpyjqKywDlNjw4nii2ZO,Watch Out For This (Bumaye),2013-04-16,day,False,269146,57
1qto4hHid1P71emI6Fd8xi,Aventura,65H6t1WQBim6q93yM8fEwn,Obsesion,2002-06-01,day,False,254720,79
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),2021-03-31,day,True,137875,76
1rpxM2mBJnWdfPeieLDYOc,ZEG P,4ZpIuzx91EAPK3VimONbfB,FADE UP,2022-06-24,day,True,219187,69
6eBYLQONaYZhZNAVK061t6,Nina Sky,2ndnVdR8si7CW9T8vJRHyW,Move Ya Body,2004-01-01,day,False,232000,70
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,77FULy278MulVvGWS8BfK7,When Love Takes Over (feat. Kelly Rowland),2009-08-21,day,False,191000,60
4vnmifnGOeRXfNTRtgd4Tj,Sexion d'Assaut,1QYzARrGUVT5Zk75HQXHJ1,Wati House,2012-11-19,day,False,256240,59
3sgFRtyBnxXD5ESfmbK4dl,LMFAO,0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,2011-01-01,day,False,262173,72
1vCWHaC5f2uS3yhpwWbIA6,Avicii,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,2013-01-01,day,False,247426,89
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,7qCAVkHWZkF44OzOUKf8Cr,El Perdón (with Enrique Iglesias),2017-01-20,day,False,205906,76
4r63FhuTkUYltbVAg5TQnk,DaBaby,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),2020-04-17,day,True,181733,79
0awl5piYwO0CDTHEkCjUhn,Nico & Vinz,2wqaekenSQZm7hxQOYt8oE,Am I Wrong,2014-01-21,day,False,247520,61
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,6habFhsOp2NvshLv26DqMb,Despacito,2019-02-01,day,False,229360,82
0EmeFodog0BfCgMzAIvKQp,Shakira,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),2005-11-28,day,False,218093,87
6wH6iStAh4KIaWfuhf0NYM,Manu Chao,6b37xrsNCWYIUphFBazqD6,Me Gustas Tu,2001-06-01,day,False,239986,84
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2013-04-19,day,False,248413,83
7keGfmQR4X5w0two1xKZ7d,Kungs,1A8j067qyiNwQnZT0bzUpZ,This Girl (Kungs Vs. Cookin' On 3 Burners),2016-11-04,day,False,195546,81
6MDME20pz9RveH9rEXvrOM,Clean Bandit,6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),2018-05-17,day,False,222653,72
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,2sLwPnIP3CUVmIuHranJZU,Wiggle (feat. Snoop Dogg),2013-09-10,day,False,193295,58
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,2009-01-01,day,False,289133,78
4ME85YvMUi1hdqhbind7gy,Guru Josh Project,3aQz0z86zrKjd1mcZlonxE,Infinity 2008 - Klaas Vocal Edit,2008-05-07,day,False,192294,78
50OApTJurDusIo9dGTqSU4,Lilly Wood and The Prick,5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit,2014-05-16,day,False,189413,77
1LsXqDdYVyONhrjAORENbu,Kaoma,6xepovPqjvrkEw9Y5AMmTm,Lambada - Original Version 1989,1989,year,False,207466,72
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,454h9zAIuTe1eJyw9iTnj4,Man Down,2010-11-16,day,True,266986,62
540vIaP2JwjQb9dm3aArA4,DJ Snake,6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),2019-07-25,day,False,185194,75
0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,0n4bITAu0Y0nigrz3MFJMb,Blurred Lines,2013-01-01,day,True,263826,78
