is_explicit,duration_ms,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_ms,time_signature
False,256240,256240,59,0.948,0.894,5,-4.301,0,0.0705,0.195,7.04e-05,0.063,0.766,125.04,256240,256240,4
False,262173,262173,72,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262173,262173,4
False,247426,247427,89,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247426,247427,4
False,205906,205907,76,0.628,0.69,8,-5.83,1,0.0511,0.443,0.0,0.113,0.66,179.908,205906,205907,4
True,181733,181733,79,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,181733,4
False,247520,247520,61,0.725,0.68,8,-5.465,1,0.0306,0.162,2.13e-06,0.158,0.76,119.939,247520,247520,4
False,229360,229360,82,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360,229360,4
False,218093,218093,87,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093,218093,4
False,239986,239987,84,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239986,239987,4
False,248413,248413,83,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,248413,4
False,195546,195547,81,0.792,0.717,0,-4.759,0,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,195546,195547,4
False,222653,222653,72,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,222653,4
False,193295,193296,58,0.697,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,193295,193296,4
False,289133,289133,78,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,289133,289133,4
False,192294,192294,78,0.498,0.862,7,-6.02,0,0.0589,0.000313,0.00941,0.352,0.47,128.034,192294,192294,4
False,189413,189413,77,0.763,0.875,9,-5.797,0,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,189413,4
False,207466,207467,72,0.756,0.8,5,-5.158,1,0.0329,0.211,0.000724,0.0466,0.967,118.924,207466,207467,4
True,266986,266987,62,0.479,0.906,0,-4.03,0,0.188,0.0406,0.0,0.051,0.536,155.887,266986,266987,4
False,185194,185195,75,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185194,185195,4
True,263826,263827,78,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,263826,263827,4
False,193400,193400,75,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,193400,4
False,206066,206067,81,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,206066,206067,4
True,195853,195853,69,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,195853,195853,4
False,201773,201773,79,0.697,0.91,2,-3.92,1,0.247,0.00271,0.0,0.147,0.623,127.031,201773,201773,4
False,168444,168445,68,0.655,0.975,2,-4.246,1,0.0539,0.00614,0.632,0.327,0.969,132.967,168444,168445,4
False,237120,237120,71,0.82,0.731,9,-6.02,1,0.159,0.0133,1.94e-05,0.131,0.793,127.076,237120,237120,4
False,234400,234400,63,0.739,0.679,0,-5.079,1,0.0373,0.000424,0.0187,0.389,0.786,127.487,234400,234400,4
False,172854,172854,76,0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,172854,172854,4
True,220133,220133,56,0.845,0.773,8,-7.187,1,0.051,0.0624,0.168,0.107,0.961,121.959,220133,220133,4
False,186153,186154,74,0.823,0.415,5,-10.845,0,0.0637,0.471,0.0316,0.128,0.488,113.976,186153,186154,4
False,238344,238345,80,0.434,0.618,1,-7.1,0,0.224,0.267,0.00061,0.102,0.534,104.333,238344,238345,4
False,221217,217566,76,0.903,0.428,6,-14.557,1,0.247,0.0335,6.23e-06,0.0623,0.503,115.029,221217,217566,4
True,233240,233240,73,0.702,0.693,5,-4.941,0,0.191,0.139,0.0,0.0702,0.572,87.973,233240,233240,4
False,192935,192936,82,0.775,0.662,10,-7.755,1,0.0408,0.117,0.0648,0.0928,0.257,112.014,192935,192936,4
True,217259,217260,84,0.794,0.578,1,-5.932,0,0.25,0.103,1.24e-05,0.363,0.967,126.032,217259,217260,4
False,166000,166000,69,0.788,0.819,5,-5.795,1,0.0327,0.0127,0.0,0.225,0.2,107.003,166000,166000,4
False,155523,155524,59,0.617,0.718,8,-6.607,1,0.0925,0.14,0.0,0.203,0.79,102.933,155523,155524,4
False,177318,177319,71,0.706,0.606,0,-5.764,1,0.0831,0.222,0.000194,0.113,0.491,165.997,177318,177319,4
False,177692,177692,47,0.734,0.592,6,-7.015,0,0.0625,0.242,3.56e-05,0.0956,0.687,103.781,177692,177692,4
False,177203,192432,70,0.897,0.396,6,-11.215,0,0.206,0.18,8.93e-05,0.185,0.785,110.974,177203,192432,4
False,137437,137437,74,0.474,0.443,11,-8.699,0,0.311,0.542,2.26e-06,0.168,0.722,68.587,137437,137437,4
True,153346,153347,81,0.808,0.634,2,-6.764,0,0.172,0.0851,0.0,0.127,0.569,100.03,153346,153347,4
False,225903,225903,70,0.498,0.83,4,-6.123,0,0.293,0.561,0.192,0.144,0.476,81.118,225903,225903,4
False,157714,157714,66,0.718,0.749,6,-7.349,0,0.0587,0.787,0.000258,0.182,0.908,105.086,157714,157714,4
False,183865,183866,67,0.462,0.888,5,-4.672,0,0.407,0.467,0.0,0.207,0.925,207.11,183865,183866,4
False,145031,154667,73,0.431,0.854,0,-8.651,0,0.296,0.526,5.39e-06,0.121,0.805,64.595,145031,154667,4
True,175410,175411,50,0.809,0.831,11,-6.515,1,0.154,0.0452,0.000785,0.118,0.617,119.816,175410,175411,5
False,200255,200256,95,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,200255,200256,4
